date,craftbeer,budweiser,millerlite,corona
2015-10-25,7,12,3,13
2015-11-01,8,12,2,13
2015-11-08,8,12,2,13
2015-11-15,8,11,2,13
2015-11-22,8,12,2,13
2015-11-29,8,12,2,13
2015-12-06,9,14,2,13
2015-12-13,9,13,3,14
2015-12-20,9,14,3,25
2015-12-27,7,13,3,16
2016-01-03,7,11,2,13
2016-01-10,7,11,5,13
2016-01-17,8,11,5,13
2016-01-24,8,14,5,13
2016-01-31,8,20,5,13
2016-02-07,8,56,6,13
2016-02-14,8,13,7,12
2016-02-21,8,12,7,12
2016-02-28,8,12,9,13
2016-03-06,8,12,9,15
2016-03-13,8,12,10,14
2016-03-20,8,12,11,13
2016-03-27,9,12,11,14
2016-04-03,9,12,11,14
2016-04-10,10,12,12,14
2016-04-17,10,12,13,15
2016-04-24,9,12,14,15
2016-05-01,9,12,14,18
2016-05-08,9,38,14,20
2016-05-15,11,21,16,16
2016-05-22,10,17,17,18
2016-05-29,10,17,16,19
2016-06-05,10,16,14,17
2016-06-12,9,15,15,18
2016-06-19,8,15,16,18
2016-06-26,9,16,17,17
2016-07-03,9,19,19,18
2016-07-10,9,14,20,17
2016-07-17,9,14,19,18
2016-07-24,9,14,19,18
2016-07-31,9,14,21,17
2016-08-07,9,13,23,16
2016-08-14,9,12,25,15
2016-08-21,10,13,20,16
2016-08-28,9,12,21,15
2016-09-04,9,14,22,14
2016-09-11,9,15,23,15
2016-09-18,8,13,24,14
2016-09-25,8,13,23,14
2016-10-02,9,12,20,13
